캠퍼스,Campus,건물명,Naver map link,Abbreviations (Nicknames),Building Name,"건물코드
 (Building Code)"
서울(인문사회계),Seoul Campus (Humanities and Social Science area),백주년기념삼성관/박물관,https://naver.me/xX7uOzDq,백기,Centennial Samsung Hall / Museum,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),본관,https://naver.me/G38CiU4R,,Main Hall,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),수당삼양패컬티하우스,https://naver.me/5iToiuI9,수당 삼양 Faculty House,Sudang Samyang Faculty House,
서울(녹지),Seoul Campus (Medical/Nokgee area),아이스링크,https://naver.me/5VmrQ9SG,,Ice Rink,
서울(녹지),Seoul Campus (Medical/Nokgee area),의료원(안암병원),https://naver.me/x3jFoKzA,,Korea University Medical Center (Anam Hospital),
서울(녹지),Seoul Campus (Medical/Nokgee area),의학도서관,https://naver.me/5ISZwNYi,의도,Medical Library,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),중앙도서관,https://naver.me/FA2UiXuM,중도,Central Library,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),타이거플라자,https://naver.me/x1Vl1SEJ,,Tiger Plaza,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),파이빌99,https://naver.me/FnmDXZC3,,Pi Ville 99,
서울(녹지),Seoul Campus (Medical/Nokgee area),학군단,https://naver.me/58NiYHRX,,ROTC Building,
서울(인문사회계),Seoul Campus (Humanities and Social Science area),한국어교육관,https://naver.me/GipVNDPK,한국어센터,Korean Language & Culture Center,
서울(녹지),Seoul Campus (Medical/Nokgee area),남학생동(1동),https://naver.me/F1rZQMUU,,Men’s Dormitory (Building 1),
서울(녹지),Seoul Campus (Medical/Nokgee area),남학생동(2동),https://naver.me/GG7z18Eq,,Men’s Dormitory (Building 2),
서울(녹지),Seoul Campus (Medical/Nokgee area),안암글로벌하우스,https://naver.me/xtg2m421,,Anam Global House,
서울(녹지),Seoul Campus (Medical/Nokgee area),안암인터내셔널하우스,https://naver.me/G58vDNcF,,Anam International House,
서울(녹지),Seoul Campus (Medical/Nokgee area),CJ인터내셔널하우스,https://naver.me/IMyIS4Ll,,CJ International House,
서울(녹지),Seoul Campus (Medical/Nokgee area),프런티어관,https://naver.me/GeUqj8XD,,Frontier Hall,
